Date,Temperature(Min)
1/1/2017,14.3
1/2/2017,17.4
1/3/2017,18.5
1/4/2017,16.8
1/5/2017,11.5
1/6/2017,9.5
1/7/2017,12.2
1/8/2017,15.7
1/9/2017,16.3
1/10/2017,13.6
1/11/2017,12.6
1/12/2017,13.8
1/13/2017,12.1
1/14/2017,13.4
1/15/2017,17.3
1/16/2017,19.4
1/17/2017,16.6
1/18/2017,13.9
1/19/2017,13.1
1/20/2017,16
1/21/2017,14.5
1/22/2017,15
1/23/2017,12.6
1/24/2017,12.5
1/25/2017,15.2
1/26/2017,16.2
1/27/2017,16.5
1/28/2017,20.1
1/29/2017,20.6
1/30/2017,16.9
1/31/2017,16.5
2/1/2017,16.1
2/2/2017,14.4
2/3/2017,16.3
2/4/2017,15.7
2/5/2017,14.2
2/6/2017,13.2
2/7/2017,16.8
2/8/2017,18.5
2/9/2017,16.7
2/10/2017,15.3
2/11/2017,15.9
2/12/2017,15.2
2/13/2017,17.5
2/14/2017,18.3
2/15/2017,19.4
2/16/2017,19.4
2/17/2017,19.5
2/18/2017,20.5
2/19/2017,15.7
2/20/2017,15
2/21/2017,16.1
2/22/2017,14.3
2/23/2017,13
2/24/2017,16.2
2/25/2017,17.7
2/26/2017,13.2
2/27/2017,15.8
2/28/2017,18.5
3/1/2017,20.4
3/2/2017,22
3/3/2017,19.7
3/4/2017,19.6
3/5/2017,20.3
3/6/2017,18.3
3/7/2017,18.9
3/8/2017,20.3
3/9/2017,21.4
3/10/2017,18.3
3/11/2017,17.8
3/12/2017,17.7
3/13/2017,12.8
3/14/2017,15.1
3/15/2017,15
3/16/2017,14.8
3/17/2017,12
3/18/2017,12.5
3/19/2017,15
3/20/2017,17.1
3/21/2017,17.3
3/22/2017,16.9
3/23/2017,16.5
3/24/2017,13.6
3/25/2017,13.2
3/26/2017,9.4
3/27/2017,9.5
3/28/2017,11.8
3/29/2017,10.4
3/30/2017,9.7
3/31/2017,12.6
4/1/2017,13.3
4/2/2017,15.1
4/3/2017,14.2
4/4/2017,14.2
4/5/2017,19.2
4/6/2017,12.6
4/7/2017,14.2
4/8/2017,11.9
4/9/2017,13.9
4/10/2017,13.5
4/11/2017,15.3
4/12/2017,13.9
4/13/2017,14
4/14/2017,12.9
4/15/2017,8.5
4/16/2017,11.4
4/17/2017,10.9
4/18/2017,12
4/19/2017,8.6
4/20/2017,9
4/21/2017,9.6
4/22/2017,10.2
4/23/2017,9.8
4/24/2017,8.3
4/25/2017,11
4/26/2017,11.9
4/27/2017,14
4/28/2017,15.8
4/29/2017,14.5
4/30/2017,13.2
5/1/2017,14.2
5/2/2017,14.6
5/3/2017,11.8
5/4/2017,14.4
5/5/2017,10.4
5/6/2017,10.3
5/7/2017,10.8
5/8/2017,10.5
5/9/2017,9.5
5/10/2017,12.5
5/11/2017,13.7
5/12/2017,12.7
5/13/2017,11.9
5/14/2017,11.4
5/15/2017,9.7
5/16/2017,8.3
5/17/2017,8.1
5/18/2017,11.7
5/19/2017,11.6
5/20/2017,7.4
5/21/2017,5.2
5/22/2017,11
5/23/2017,9.5
5/24/2017,9.2
5/25/2017,10.7
5/26/2017,9
5/27/2017,10.2
5/28/2017,10.3
5/29/2017,12.1
5/30/2017,13.2
5/31/2017,6.6
6/1/2017,2.3
6/2/2017,1.4
6/3/2017,2.1
6/4/2017,6.6
6/5/2017,8.9
6/6/2017,7.8
6/7/2017,9
6/8/2017,10.3
6/9/2017,7.9
6/10/2017,7.2
6/11/2017,8.6
6/12/2017,8.8
6/13/2017,6.2
6/14/2017,9.5
6/15/2017,10.2
6/16/2017,9.7
6/17/2017,11.2
6/18/2017,10.2
6/19/2017,10.1
6/20/2017,8.1
6/21/2017,6.6
6/22/2017,5
6/23/2017,4.7
6/24/2017,5.3
6/25/2017,4.5
6/26/2017,2.3
6/27/2017,1.4
6/28/2017,0.5
6/29/2017,2.4
6/30/2017,8
7/1/2017,6
7/2/2017,7.1
7/3/2017,9.7
7/4/2017,6.9
7/5/2017,5.3
7/6/2017,7
7/7/2017,6.2
7/8/2017,7
7/9/2017,9.7
7/10/2017,8
7/11/2017,8.5
7/12/2017,7.1
7/13/2017,7.5
7/14/2017,3.3
7/15/2017,1.8
7/16/2017,2.6
7/17/2017,5.3
7/18/2017,5.8
7/19/2017,5.8
7/20/2017,7.2
7/21/2017,5.3
7/22/2017,1.6
7/23/2017,3.1
7/24/2017,5.3
7/25/2017,7.7
7/26/2017,4.2
7/27/2017,5.5
7/28/2017,9
7/29/2017,11.2
7/30/2017,8
7/31/2017,7.6
8/1/2017,3.7
8/2/2017,7.5
8/3/2017,8.1
8/4/2017,8.4
8/5/2017,7.1
8/6/2017,7.6
8/7/2017,7.6
8/8/2017,5.6
8/9/2017,7
8/10/2017,10.5
8/11/2017,7.3
8/12/2017,7.8
8/13/2017,5.8
8/14/2017,3.8
8/15/2017,5.8
8/16/2017,6.7
8/17/2017,6.6
8/18/2017,6.6
8/19/2017,9
8/20/2017,8.1
8/21/2017,5.1
8/22/2017,8.6
8/23/2017,7
8/24/2017,5.5
8/25/2017,7.4
8/26/2017,6.2
8/27/2017,4.2
8/28/2017,6.3
8/29/2017,7
8/30/2017,4
8/31/2017,8
9/1/2017,8.8
9/2/2017,8.8
9/3/2017,6.1
9/4/2017,8.6
9/5/2017,8.9
9/6/2017,7.8
9/7/2017,5
9/8/2017,7
9/9/2017,13.3
9/10/2017,7.9
9/11/2017,7.5
9/12/2017,8.3
9/13/2017,7.2
9/14/2017,6.5
9/15/2017,8.9
9/16/2017,7.4
9/17/2017,9.9
9/18/2017,9.3
9/19/2017,10.6
9/20/2017,8.6
9/21/2017,7.2
9/22/2017,12.6
9/23/2017,7.8
9/24/2017,6.3
9/25/2017,9.2
9/26/2017,5.8
9/27/2017,9
9/28/2017,5
9/29/2017,11.9
9/30/2017,13.4
10/1/2017,10.5
10/2/2017,6.2
10/3/2017,5.1
10/4/2017,9.5
10/5/2017,11.7
10/6/2017,9.2
10/7/2017,7.3
10/8/2017,9.7
10/9/2017,9.4
10/10/2017,10
10/11/2017,10.9
10/12/2017,11
10/13/2017,10.9
10/14/2017,8
10/15/2017,11.2
10/16/2017,7.5
10/17/2017,7.2
10/18/2017,13.2
10/19/2017,12.9
10/20/2017,9.4
10/21/2017,10.2
10/22/2017,9.5
10/23/2017,12.4
10/24/2017,10.2
10/25/2017,13.4
10/26/2017,11.6
10/27/2017,8
10/28/2017,9
10/29/2017,9.3
10/30/2017,13.5
10/31/2017,8
11/1/2017,8.1
11/2/2017,10
11/3/2017,8.5
11/4/2017,12.5
11/5/2017,15
11/6/2017,13.3
11/7/2017,11
11/8/2017,11.9
11/9/2017,8.3
11/10/2017,9.7
11/11/2017,11.3
11/12/2017,12.5
11/13/2017,9.4
11/14/2017,11.4
11/15/2017,13.2
11/16/2017,13.8
11/17/2017,16
11/18/2017,10.9
11/19/2017,11.9
11/20/2017,12.4
11/21/2017,13.2
11/22/2017,15.5
11/23/2017,21.6
11/24/2017,14.9
11/25/2017,14.4
11/26/2017,12.9
11/27/2017,13.1
11/28/2017,14
11/29/2017,17.9
11/30/2017,17.7
12/1/2017,16.3
12/2/2017,18.3
12/3/2017,13.7
12/4/2017,13.3
12/5/2017,10.6
12/6/2017,14.1
12/7/2017,16
12/8/2017,16.5
12/9/2017,14.1
12/10/2017,18.7
12/11/2017,16.2
12/12/2017,14.8
12/13/2017,12.6
12/14/2017,10.4
12/15/2017,12.2
12/16/2017,12.6
12/17/2017,12.1
12/18/2017,17.3
12/19/2017,16.4
12/20/2017,12.6
12/21/2017,12.3
12/22/2017,11.8
12/23/2017,12
12/24/2017,12.7
12/25/2017,16.4
12/26/2017,16
12/27/2017,13.3
12/28/2017,11.7
12/29/2017,10.4
12/30/2017,14.4
12/31/2017,12.7
1/1/2018,14.8
1/2/2018,13.3
1/3/2018,15.6
1/4/2018,14.5
1/5/2018,14.3
1/6/2018,15.3
1/7/2018,16.4
1/8/2018,14.8
1/9/2018,17.4
1/10/2018,18.8
1/11/2018,22.1
1/12/2018,19
1/13/2018,15.5
1/14/2018,15.8
1/15/2018,14.7
1/16/2018,10.7
1/17/2018,11.5
1/18/2018,15
1/19/2018,14.5
1/20/2018,14.5
1/21/2018,13.3
1/22/2018,14.3
1/23/2018,14.3
1/24/2018,20.5
1/25/2018,15
1/26/2018,17.1
1/27/2018,16.9
1/28/2018,16.9
1/29/2018,13.6
1/30/2018,16.4
1/31/2018,16.1
2/1/2018,12
2/2/2018,12.2
2/3/2018,14.8
2/4/2018,14.8
2/5/2018,14.4
2/6/2018,12.9
2/7/2018,13.4
2/8/2018,15.9
2/9/2018,16.1
2/10/2018,17.6
2/11/2018,15.6
2/12/2018,15
2/13/2018,13
2/14/2018,14.1
2/15/2018,17.3
2/16/2018,15.7
2/17/2018,18.6
2/18/2018,12.7
2/19/2018,14
2/20/2018,13.7
2/21/2018,16.3
2/22/2018,20
2/23/2018,17
2/24/2018,15.2
2/25/2018,16.5
2/26/2018,16.5
2/27/2018,17.3
2/28/2018,19.1
3/1/2018,19.3
3/2/2018,17.3
3/3/2018,19
3/4/2018,19.8
3/5/2018,19.3
3/6/2018,17.2
3/7/2018,14.2
3/8/2018,10.3
3/9/2018,13
3/10/2018,15.3
3/11/2018,15
3/12/2018,12.1
3/13/2018,9.2
3/14/2018,11
3/15/2018,15
3/16/2018,11.6
3/17/2018,11.6
3/18/2018,15.1
3/19/2018,15
3/20/2018,13.6
3/21/2018,12.5
3/22/2018,14.3
3/23/2018,16
3/24/2018,17.4
3/25/2018,16.9
3/26/2018,18
3/27/2018,20.6
3/28/2018,14.2
3/29/2018,10.9
3/30/2018,11.9
3/31/2018,13.3
4/1/2018,15.3
4/2/2018,14.7
4/3/2018,11
4/4/2018,12.2
4/5/2018,14.2
4/6/2018,17
4/7/2018,15.8
4/8/2018,15.2
4/9/2018,15.1
4/10/2018,14.7
4/11/2018,18.5
4/12/2018,16.4
4/13/2018,18.4
4/14/2018,15.1
4/15/2018,9.9
4/16/2018,10.2
4/17/2018,12.6
4/18/2018,13.2
4/19/2018,11.5
4/20/2018,13.8
4/21/2018,14.5
4/22/2018,14.7
4/23/2018,11.2
4/24/2018,12.7
4/25/2018,13.7
4/26/2018,11.5
4/27/2018,10.4
4/28/2018,8.9
4/29/2018,11.1
4/30/2018,9.5
5/1/2018,13
5/2/2018,13.9
5/3/2018,12.6
5/4/2018,14.3
5/5/2018,16
5/6/2018,13.3
5/7/2018,7
5/8/2018,4.9
5/9/2018,6.9
5/10/2018,13.7
5/11/2018,10.6
5/12/2018,12.3
5/13/2018,11.1
5/14/2018,10.2
5/15/2018,9.5
5/16/2018,8.9
5/17/2018,13.4
5/18/2018,9.1
5/19/2018,9.4
5/20/2018,8.7
5/21/2018,5.8
5/22/2018,4.5
5/23/2018,7.2
5/24/2018,10
5/25/2018,10.5
5/26/2018,10.7
5/27/2018,8.2
5/28/2018,6.1
5/29/2018,4.5
5/30/2018,6.1
5/31/2018,9.8
6/1/2018,9.7
6/2/2018,8.2
6/3/2018,8.4
6/4/2018,8.5
6/5/2018,10.4
6/6/2018,6.8
6/7/2018,6
6/8/2018,6.6
6/9/2018,7.8
6/10/2018,10.3
6/11/2018,7.2
6/12/2018,7.4
6/13/2018,11.4
6/14/2018,5.4
6/15/2018,4.4
6/16/2018,6.4
6/17/2018,9.3
6/18/2018,7.7
6/19/2018,8.1
6/20/2018,8.3
6/21/2018,9.1
6/22/2018,7.7
6/23/2018,10.6
6/24/2018,8.2
6/25/2018,7.9
6/26/2018,5.2
6/27/2018,5.9
6/28/2018,3.7
6/29/2018,5.6
6/30/2018,9.4
7/1/2018,7.4
7/2/2018,7.3
7/3/2018,7.7
7/4/2018,7.7
7/5/2018,9.3
7/6/2018,4.4
7/7/2018,5.7
7/8/2018,10.2
7/9/2018,10.2
7/10/2018,9.3
7/11/2018,5.4
7/12/2018,5
7/13/2018,7.6
7/14/2018,9.6
7/15/2018,10.4
7/16/2018,11.2
7/17/2018,9.1
7/18/2018,11.2
7/19/2018,6.8
7/20/2018,8.3
7/21/2018,9.7
7/22/2018,9.6
7/23/2018,9.8
7/24/2018,10.8
7/25/2018,9.2
7/26/2018,6.5
7/27/2018,8.1
7/28/2018,7.3
7/29/2018,7.9
7/30/2018,6
7/31/2018,5
8/1/2018,6.8
8/2/2018,9.8
8/3/2018,5.7
8/4/2018,8.6
8/5/2018,10.6
8/6/2018,7.8
8/7/2018,7.7
8/8/2018,8.6
8/9/2018,6.5
8/10/2018,6.9
8/11/2018,6.4
8/12/2018,8.5
8/13/2018,7.8
8/14/2018,9.3
8/15/2018,8.4
8/16/2018,7.8
8/17/2018,7.4
8/18/2018,7.7
8/19/2018,8.9
8/20/2018,9.7
8/21/2018,9.9
8/22/2018,6.1
8/23/2018,6.6
8/24/2018,7.6
8/25/2018,7.4
8/26/2018,8
8/27/2018,2.1
8/28/2018,5.9
8/29/2018,11.6
8/30/2018,8.6
8/31/2018,7.9
9/1/2018,6
9/2/2018,9.5
9/3/2018,8.6
9/4/2018,7.6
9/5/2018,10.4
9/6/2018,10.3
9/7/2018,7.5
9/8/2018,3
9/9/2018,5.3
9/10/2018,10.5
9/11/2018,14.6
9/12/2018,12.6
9/13/2018,9.8
9/14/2018,7.2
9/15/2018,10.1
9/16/2018,10.4
9/17/2018,3.7
9/18/2018,7.3
9/19/2018,11.6
9/20/2018,16.3
9/21/2018,9.6
9/22/2018,6.8
9/23/2018,5.2
9/24/2018,10.6
9/25/2018,16.3
9/26/2018,9.8
9/27/2018,4.6
9/28/2018,11.1
9/29/2018,8.7
9/30/2018,10
10/1/2018,11.3
10/2/2018,10.5
10/3/2018,9.9
10/4/2018,11
10/5/2018,14
10/6/2018,9.2
10/7/2018,9.8
10/8/2018,6
10/9/2018,9.8
10/10/2018,9.2
10/11/2018,11.8
10/12/2018,10.3
10/13/2018,7.5
10/14/2018,7.7
10/15/2018,15.8
10/16/2018,14.6
10/17/2018,10.5
10/18/2018,11.3
10/19/2018,10.9
10/20/2018,6.4
10/21/2018,10.9
10/22/2018,9
10/23/2018,10.9
10/24/2018,12.4
10/25/2018,11.6
10/26/2018,13.3
10/27/2018,14.4
10/28/2018,18.4
10/29/2018,13.6
10/30/2018,14.9
10/31/2018,14.8
11/1/2018,15.4
11/2/2018,11.8
11/3/2018,13
11/4/2018,11.1
11/5/2018,12.5
11/6/2018,18.3
11/7/2018,19.2
11/8/2018,15.4
11/9/2018,13.1
11/10/2018,11.5
11/11/2018,8.6
11/12/2018,12.6
11/13/2018,13.8
11/14/2018,14.6
11/15/2018,13.2
11/16/2018,12.3
11/17/2018,8.8
11/18/2018,10.7
11/19/2018,9.9
11/20/2018,8.3
11/21/2018,15
11/22/2018,12.2
11/23/2018,10.5
11/24/2018,11.1
11/25/2018,13
11/26/2018,12.9
11/27/2018,8.8
11/28/2018,14.7
11/29/2018,14.7
11/30/2018,12.7
12/1/2018,13.3
12/2/2018,13.2
12/3/2018,16.2
12/4/2018,17.3
12/5/2018,20.5
12/6/2018,20.2
12/7/2018,19.4
12/8/2018,15.5
12/9/2018,14.1
12/10/2018,11
12/11/2018,11.1
12/12/2018,14
12/13/2018,11.4
12/14/2018,12.5
12/15/2018,13.4
12/16/2018,13.6
12/17/2018,13.9
12/18/2018,17.2
12/19/2018,14.7
12/20/2018,15.4
12/21/2018,13.1
12/22/2018,13.2
12/23/2018,13.9
12/24/2018,10
12/25/2018,12.9
12/26/2018,14.6
12/27/2018,14
12/28/2018,13.6
12/29/2018,13.5
12/30/2018,15.7
12/31/2018,13
